doenca,localidade,ano,semana_epidemiologica,semana_ano,data_inicio_semana,casos_notificados,casos_confirmados,casos_fem,casos_masc,casos_0_19,casos_20_59,casos_60_mais
Dengue,Baixada Santista,2021,1,202101,2021-01-03,115,20,63,52,28,73,14
Dengue,Baixada Santista,2021,2,202102,2021-01-10,328,74,175,153,96,197,35
Dengue,Baixada Santista,2021,3,202103,2021-01-17,490,118,267,223,134,303,53
Dengue,Baixada Santista,2021,4,202104,2021-01-24,667,154,367,298,179,426,62
Dengue,Baixada Santista,2021,5,202105,2021-01-31,1023,263,597,424,274,644,105
Dengue,Baixada Santista,2021,6,202106,2021-02-07,1411,417,818,590,343,883,185
Dengue,Baixada Santista,2021,7,202107,2021-02-14,2009,681,1139,866,477,1227,305
Dengue,Baixada Santista,2021,8,202108,2021-02-21,2298,843,1295,999,557,1415,326
Dengue,Baixada Santista,2021,9,202109,2021-02-28,2804,863,1624,1177,643,1712,449
Dengue,Baixada Santista,2021,10,202110,2021-03-07,3299,979,1901,1392,705,2054,540
Dengue,Baixada Santista,2021,11,202111,2021-03-14,3620,982,2100,1517,714,2324,582
Dengue,Baixada Santista,2021,12,202112,2021-03-21,3811,1166,2123,1686,730,2457,624
Dengue,Baixada Santista,2021,13,202113,2021-03-28,3341,1037,1884,1454,655,2161,525
Dengue,Baixada Santista,2021,14,202114,2021-04-04,3705,1315,2137,1566,688,2405,612
Dengue,Baixada Santista,2021,15,202115,2021-04-11,3179,1186,1861,1310,675,1949,555
Dengue,Baixada Santista,2021,16,202116,2021-04-18,2608,950,1482,1123,590,1577,441
Dengue,Baixada Santista,2021,17,202117,2021-04-25,2489,882,1394,1079,552,1521,416
Dengue,Baixada Santista,2021,18,202118,2021-05-02,1963,673,1128,830,408,1283,272
Dengue,Baixada Santista,2021,19,202119,2021-05-09,1501,446,840,660,315,948,238
Dengue,Baixada Santista,2021,20,202120,2021-05-16,1489,424,877,611,289,969,231
Dengue,Baixada Santista,2021,21,202121,2021-05-23,1216,307,664,551,269,775,172
Dengue,Baixada Santista,2021,22,202122,2021-05-30,841,211,449,390,193,549,99
Dengue,Baixada Santista,2021,23,202123,2021-06-06,854,225,470,384,204,559,91
Dengue,Baixada Santista,2021,24,202124,2021-06-13,677,174,381,296,137,448,92
Dengue,Baixada Santista,2021,25,202125,2021-06-20,428,94,235,193,96,281,51
Dengue,Baixada Santista,2021,26,202126,2021-06-27,404,105,224,180,93,252,59
Dengue,Baixada Santista,2021,27,202127,2021-07-04,323,69,185,138,72,212,39
Dengue,Baixada Santista,2021,28,202128,2021-07-11,299,59,168,131,66,193,40
Dengue,Baixada Santista,2021,29,202129,2021-07-18,212,46,123,89,53,137,22
Dengue,Baixada Santista,2021,30,202130,2021-07-25,250,50,132,117,40,183,27
Dengue,Baixada Santista,2021,31,202131,2021-08-01,140,25,88,52,25,102,13
Dengue,Baixada Santista,2021,32,202132,2021-08-08,157,30,96,61,41,102,14
Dengue,Baixada Santista,2021,33,202133,2021-08-15,203,44,107,96,84,101,18
Dengue,Baixada Santista,2021,34,202134,2021-08-22,214,35,122,92,79,105,30
Dengue,Baixada Santista,2021,35,202135,2021-08-29,158,21,99,59,40,97,21
Dengue,Baixada Santista,2021,36,202136,2021-09-05,127,30,64,63,36,75,16
Dengue,Baixada Santista,2021,37,202137,2021-09-12,138,23,74,64,29,97,12
Dengue,Baixada Santista,2021,38,202138,2021-09-19,154,22,83,71,59,78,17
Dengue,Baixada Santista,2021,39,202139,2021-09-26,141,24,80,61,38,93,10
Dengue,Baixada Santista,2021,40,202140,2021-10-03,128,16,65,63,35,79,14
Dengue,Baixada Santista,2021,41,202141,2021-10-10,96,10,55,41,34,51,11
Dengue,Baixada Santista,2021,42,202142,2021-10-17,123,23,63,60,33,82,8
Dengue,Baixada Santista,2021,43,202143,2021-10-24,108,18,56,52,38,60,10
Dengue,Baixada Santista,2021,44,202144,2021-10-31,95,11,50,45,24,64,7
Dengue,Baixada Santista,2021,45,202145,2021-11-07,93,16,53,39,17,65,11
Dengue,Baixada Santista,2021,46,202146,2021-11-14,88,9,46,42,16,58,14
Dengue,Baixada Santista,2021,47,202147,2021-11-21,86,13,49,37,18,60,8
Dengue,Baixada Santista,2021,48,202148,2021-11-28,128,13,70,58,35,75,18
Dengue,Baixada Santista,2021,49,202149,2021-12-05,165,24,89,76,35,115,15
Dengue,Baixada Santista,2021,50,202150,2021-12-12,263,27,136,127,69,177,17
Dengue,Baixada Santista,2021,51,202151,2021-12-19,136,11,67,69,31,96,9
Dengue,Baixada Santista,2021,52,202152,2021-12-26,81,11,38,43,14,55,12
Dengue,Baixada Santista,2022,1,202201,2022-01-02,11,8,5,6,6,5,0
Dengue,Baixada Santista,2022,2,202202,2022-01-09,13,8,2,11,3,10,0
Dengue,Baixada Santista,2022,3,202203,2022-01-16,12,10,9,3,4,7,1
Dengue,Baixada Santista,2022,4,202204,2022-01-23,23,12,13,10,12,11,0
Dengue,Baixada Santista,2022,5,202205,2022-01-30,11,9,6,5,5,6,0
Dengue,Baixada Santista,2022,6,202206,2022-02-06,15,13,7,8,2,11,2
Dengue,Baixada Santista,2022,7,202207,2022-02-13,10,9,5,5,3,5,2
Dengue,Baixada Santista,2022,8,202208,2022-02-20,14,12,10,4,9,3,2
Dengue,Baixada Santista,2022,9,202209,2022-02-27,16,12,7,9,8,6,2
Dengue,Baixada Santista,2022,10,202210,2022-03-06,16,11,9,7,9,6,1
Dengue,Baixada Santista,2022,11,202211,2022-03-13,19,11,8,11,8,10,1
Dengue,Baixada Santista,2022,12,202212,2022-03-20,20,18,9,11,3,10,7
Dengue,Baixada Santista,2022,13,202213,2022-03-27,24,23,10,14,9,11,4
Dengue,Baixada Santista,2022,14,202214,2022-04-03,26,19,15,11,4,19,3
Dengue,Baixada Santista,2022,15,202215,2022-04-10,36,28,16,20,8,27,1
Dengue,Baixada Santista,2022,16,202216,2022-04-17,46,37,28,18,10,32,4
Dengue,Baixada Santista,2022,17,202217,2022-04-24,42,38,18,24,9,26,7
Dengue,Baixada Santista,2022,18,202218,2022-05-01,61,48,32,28,21,36,4
Dengue,Baixada Santista,2022,19,202219,2022-05-08,87,74,44,43,31,44,12
Dengue,Baixada Santista,2022,20,202220,2022-05-15,67,54,34,33,27,37,3
Dengue,Baixada Santista,2022,21,202221,2022-05-22,66,49,36,30,27,33,6
Dengue,Baixada Santista,2022,22,202222,2022-05-29,43,34,29,14,15,22,6
Dengue,Baixada Santista,2022,23,202223,2022-06-05,35,31,17,18,13,18,4
Dengue,Baixada Santista,2022,24,202224,2022-06-12,26,21,12,14,5,20,1
Dengue,Baixada Santista,2022,25,202225,2022-06-19,34,23,21,13,12,21,1
Dengue,Baixada Santista,2022,26,202226,2022-06-26,43,35,25,18,19,20,4
Dengue,Baixada Santista,2022,27,202227,2022-07-03,54,39,32,22,20,31,3
Dengue,Baixada Santista,2022,28,202228,2022-07-10,32,26,21,11,9,19,4
Dengue,Baixada Santista,2022,29,202229,2022-07-17,21,16,9,12,5,16,0
Dengue,Baixada Santista,2022,30,202230,2022-07-24,20,14,12,8,7,13,0
Dengue,Baixada Santista,2022,31,202231,2022-07-31,25,12,12,13,16,6,3
Dengue,Baixada Santista,2022,32,202232,2022-08-07,16,13,11,5,7,7,2
Dengue,Baixada Santista,2022,33,202233,2022-08-14,19,15,8,11,5,11,3
Dengue,Baixada Santista,2022,34,202234,2022-08-21,23,13,12,11,13,10,0
Dengue,Baixada Santista,2022,35,202235,2022-08-28,6,4,2,4,2,4,0
Dengue,Baixada Santista,2022,36,202236,2022-09-04,13,10,8,5,6,7,0
Dengue,Baixada Santista,2022,37,202237,2022-09-11,12,8,4,8,8,4,0
Dengue,Baixada Santista,2022,38,202238,2022-09-18,15,11,8,7,8,6,1
Dengue,Baixada Santista,2022,39,202239,2022-09-25,16,9,11,5,5,9,2
Dengue,Baixada Santista,2022,40,202240,2022-10-02,11,5,5,6,4,6,1
Dengue,Baixada Santista,2022,41,202241,2022-10-09,8,6,4,4,3,5,0
Dengue,Baixada Santista,2022,42,202242,2022-10-16,21,16,9,12,6,11,4
Dengue,Baixada Santista,2022,43,202243,2022-10-23,25,17,18,7,14,10,1
Dengue,Baixada Santista,2022,44,202244,2022-10-30,24,17,14,10,14,7,3
Dengue,Baixada Santista,2022,45,202245,2022-11-06,23,14,12,11,5,15,3
Dengue,Baixada Santista,2022,46,202246,2022-11-13,33,23,20,13,12,19,2
Dengue,Baixada Santista,2022,47,202247,2022-11-20,19,17,11,8,5,14,0
Dengue,Baixada Santista,2022,48,202248,2022-11-27,30,18,15,15,12,16,2
Dengue,Baixada Santista,2022,49,202249,2022-12-04,20,8,12,8,6,12,2
Dengue,Baixada Santista,2022,50,202250,2022-12-11,19,10,10,9,6,12,1
Dengue,Baixada Santista,2022,51,202251,2022-12-18,11,9,8,3,4,6,1
Dengue,Baixada Santista,2022,52,202252,2022-12-25,18,10,10,8,6,11,1
Dengue,Baixada Santista,2023,1,202301,2023-01-01,9,9,6,3,2,7,0
Dengue,Baixada Santista,2023,2,202302,2023-01-08,18,14,9,9,4,13,1
Dengue,Baixada Santista,2023,3,202303,2023-01-15,17,17,8,9,4,11,2
Dengue,Baixada Santista,2023,4,202304,2023-01-22,20,19,10,10,6,13,1
Dengue,Baixada Santista,2023,5,202305,2023-01-29,26,22,10,16,9,15,2
Dengue,Baixada Santista,2023,6,202306,2023-02-05,36,34,15,21,10,25,1
Dengue,Baixada Santista,2023,7,202307,2023-02-12,63,56,32,31,13,44,6
Dengue,Baixada Santista,2023,8,202308,2023-02-19,38,36,16,22,9,25,4
Dengue,Baixada Santista,2023,9,202309,2023-02-26,72,68,43,29,15,45,12
Dengue,Baixada Santista,2023,10,202310,2023-03-05,74,69,35,39,22,45,7
Dengue,Baixada Santista,2023,11,202311,2023-03-12,98,89,42,56,34,56,8
Dengue,Baixada Santista,2023,12,202312,2023-03-19,142,132,81,60,40,91,11
Dengue,Baixada Santista,2023,13,202313,2023-03-26,158,151,77,81,46,97,15
Dengue,Baixada Santista,2023,14,202314,2023-04-02,162,156,90,72,36,110,16
Dengue,Baixada Santista,2023,15,202315,2023-04-09,163,161,89,74,45,101,17
Dengue,Baixada Santista,2023,16,202316,2023-04-16,197,186,107,90,50,130,17
Dengue,Baixada Santista,2023,17,202317,2023-04-23,182,174,86,96,53,108,21
Dengue,Baixada Santista,2023,18,202318,2023-04-30,186,179,91,95,47,112,27
Dengue,Baixada Santista,2023,19,202319,2023-05-07,208,191,102,106,65,129,14
Dengue,Baixada Santista,2023,20,202320,2023-05-14,217,195,114,103,56,144,17
Dengue,Baixada Santista,2023,21,202321,2023-05-21,157,143,77,80,43,96,18
Dengue,Baixada Santista,2023,22,202322,2023-05-28,121,117,63,57,33,73,15
Dengue,Baixada Santista,2023,23,202323,2023-06-04,121,118,60,61,29,86,6
Dengue,Baixada Santista,2023,24,202324,2023-06-11,135,121,68,67,35,90,10
Dengue,Baixada Santista,2023,25,202325,2023-06-18,73,64,40,33,28,39,6
Dengue,Baixada Santista,2023,26,202326,2023-06-25,65,61,33,32,20,42,3
Dengue,Baixada Santista,2023,27,202327,2023-07-02,67,65,33,34,15,44,8
Dengue,Baixada Santista,2023,28,202328,2023-07-09,55,52,30,25,20,31,4
Dengue,Baixada Santista,2023,29,202329,2023-07-16,29,24,13,16,11,15,3
Dengue,Baixada Santista,2023,30,202330,2023-07-23,45,42,21,24,13,31,1
Dengue,Baixada Santista,2023,31,202331,2023-07-30,38,37,12,26,11,27,0
Dengue,Baixada Santista,2023,32,202332,2023-08-06,65,62,33,32,20,39,6
Dengue,Baixada Santista,2023,33,202333,2023-08-13,45,38,15,30,16,24,5
Dengue,Baixada Santista,2023,34,202334,2023-08-20,50,46,28,22,18,28,4
Dengue,Baixada Santista,2023,35,202335,2023-08-27,30,29,19,11,8,21,1
Dengue,Baixada Santista,2023,36,202336,2023-09-03,44,38,27,17,18,23,3
Dengue,Baixada Santista,2023,37,202337,2023-09-10,47,44,20,27,11,33,3
Dengue,Baixada Santista,2023,38,202338,2023-09-17,45,40,20,25,18,23,4
Dengue,Baixada Santista,2023,39,202339,2023-09-24,36,33,22,14,13,20,3
Dengue,Baixada Santista,2023,40,202340,2023-10-01,65,57,40,25,22,37,6
Dengue,Baixada Santista,2023,41,202341,2023-10-08,57,50,25,32,21,32,4
Dengue,Baixada Santista,2023,42,202342,2023-10-15,84,67,44,40,34,38,12
Dengue,Baixada Santista,2023,43,202343,2023-10-22,73,65,37,35,30,36,7
Dengue,Baixada Santista,2023,44,202344,2023-10-29,49,40,23,26,16,29,4
Dengue,Baixada Santista,2023,45,202345,2023-11-05,108,92,49,59,40,60,8
Dengue,Baixada Santista,2023,46,202346,2023-11-12,81,69,50,31,32,39,10
Dengue,Baixada Santista,2023,47,202347,2023-11-19,77,68,41,36,27,42,8
Dengue,Baixada Santista,2023,48,202348,2023-11-26,94,84,52,42,37,53,4
Dengue,Baixada Santista,2023,49,202349,2023-12-03,104,93,62,41,43,48,13
Dengue,Baixada Santista,2023,50,202350,2023-12-10,113,89,67,46,43,64,6
Dengue,Baixada Santista,2023,51,202351,2023-12-17,125,99,69,56,33,86,6
Dengue,Baixada Santista,2023,52,202352,2023-12-24,140,120,75,65,50,82,8
Dengue,Baixada Santista,2024,1,202401,2024-01-07,77,74,45,32,15,54,8
Dengue,Baixada Santista,2024,2,202402,2024-01-14,186,185,103,83,59,110,17
Dengue,Baixada Santista,2024,3,202403,2024-01-21,200,192,106,94,60,121,19
Dengue,Baixada Santista,2024,4,202404,2024-01-28,264,261,140,124,84,157,23
Dengue,Baixada Santista,2024,5,202405,2024-02-04,373,356,205,168,105,213,55
Dengue,Baixada Santista,2024,6,202406,2024-02-11,644,583,357,287,165,389,90
Dengue,Baixada Santista,2024,7,202407,2024-02-18,575,507,320,255,149,358,68
Dengue,Baixada Santista,2024,8,202408,2024-02-25,899,806,521,378,242,560,97
Dengue,Baixada Santista,2024,9,202409,2024-03-03,1090,1047,620,470,328,649,113
Dengue,Baixada Santista,2024,10,202410,2024-03-10,984,946,555,429,320,557,107
Dengue,Baixada Santista,2024,11,202411,2024-03-17,1262,1221,697,564,406,706,150
Dengue,Baixada Santista,2024,12,202412,2024-03-24,1366,1325,803,563,430,759,177
Dengue,Baixada Santista,2024,13,202413,2024-03-31,1619,1563,918,701,480,916,223
Dengue,Baixada Santista,2024,14,202414,2024-04-07,2025,1950,1095,929,684,1086,255
Dengue,Baixada Santista,2024,15,202415,2024-04-14,1929,1855,1114,814,673,986,270
Dengue,Baixada Santista,2024,16,202416,2024-04-21,2421,2371,1300,1120,714,1310,397
Dengue,Baixada Santista,2024,17,202417,2024-04-28,2326,2260,1332,989,629,1314,383
Dengue,Baixada Santista,2024,18,202418,2024-05-05,2024,1964,1124,894,564,1114,346
Dengue,Baixada Santista,2024,19,202419,2024-05-12,2107,2060,1159,944,567,1207,333
Dengue,Baixada Santista,2024,20,202420,2024-05-19,1870,1807,1051,815,488,1098,284
Dengue,Baixada Santista,2024,21,202421,2024-05-26,1671,1629,941,729,436,956,279
Dengue,Baixada Santista,2024,22,202422,2024-06-02,838,810,456,382,224,473,141
Dengue,Baixada Santista,2024,23,202423,2024-06-09,724,704,383,339,248,379,97
Dengue,Baixada Santista,2024,24,202424,2024-06-16,675,664,351,324,259,355,61
Dengue,Baixada Santista,2024,25,202425,2024-06-23,431,423,234,197,180,210,41
Dengue,Baixada Santista,2024,26,202426,2024-06-30,694,566,372,322,310,325,59
Dengue,Baixada Santista,2024,27,202427,2024-07-07,249,242,121,128,89,130,30
Dengue,Baixada Santista,2024,28,202428,2024-07-14,217,208,124,93,78,111,28
Dengue,Baixada Santista,2024,29,202429,2024-07-21,164,154,88,76,65,79,20
Dengue,Baixada Santista,2024,30,202430,2024-07-28,119,112,55,64,41,66,12
Dengue,Baixada Santista,2024,31,202431,2024-08-04,91,90,46,45,31,47,13
Dengue,Baixada Santista,2024,32,202432,2024-08-11,63,56,37,26,38,23,2
Dengue,Baixada Santista,2024,33,202433,2024-08-18,41,29,20,21,28,11,2
Dengue,Baixada Santista,2024,34,202434,2024-08-25,55,40,30,25,28,24,3
Dengue,Baixada Santista,2024,35,202435,2024-09-01,44,34,26,18,25,18,1
Dengue,Baixada Santista,2024,36,202436,2024-09-08,52,39,22,30,27,15,10
Dengue,Baixada Santista,2024,37,202437,2024-09-15,85,74,42,43,40,35,10
Dengue,Baixada Santista,2024,38,202438,2024-09-22,65,49,32,33,27,32,6
Dengue,Baixada Santista,2024,39,202439,2024-09-29,49,38,25,24,30,17,2
Dengue,Baixada Santista,2024,40,202440,2024-10-06,40,37,21,19,31,9,0
Dengue,Baixada Santista,2024,41,202441,2024-10-13,47,43,24,23,34,12,1
Dengue,Baixada Santista,2024,42,202442,2024-10-20,46,40,25,21,28,16,2
Dengue,Baixada Santista,2024,43,202443,2024-10-27,46,40,29,17,28,17,1
Dengue,Baixada Santista,2024,44,202444,2024-11-03,93,78,47,46,50,38,5
Dengue,Baixada Santista,2024,45,202445,2024-11-10,38,31,18,20,25,11,2
Dengue,Baixada Santista,2024,46,202446,2024-11-17,44,32,20,24,30,12,2
Dengue,Baixada Santista,2024,47,202447,2024-11-24,28,26,14,14,17,11,0
Dengue,Baixada Santista,2024,48,202448,2024-12-01,80,67,44,36,45,31,4
Dengue,Baixada Santista,2024,49,202449,2024-12-08,48,39,26,22,27,18,3
Dengue,Baixada Santista,2024,50,202450,2024-12-15,45,35,21,24,24,17,4
Dengue,Baixada Santista,2024,51,202451,2024-12-22,48,38,30,18,24,20,4
Dengue,Baixada Santista,2024,52,202452,2024-12-29,40,31,23,17,22,14,4
Dengue,Baixada Santista,2025,1,202501,2025-01-05,48,44,27,21,15,30,3
Dengue,Baixada Santista,2025,2,202502,2025-01-12,39,35,20,19,11,26,2
Dengue,Baixada Santista,2025,3,202503,2025-01-19,52,50,25,27,13,35,4
Dengue,Baixada Santista,2025,4,202504,2025-01-26,63,59,31,32,16,40,7
Dengue,Baixada Santista,2025,5,202505,2025-02-02,66,66,31,35,17,42,7
Dengue,Baixada Santista,2025,6,202506,2025-02-09,104,98,48,56,31,63,10
Dengue,Baixada Santista,2025,7,202507,2025-02-16,216,192,105,111,51,144,21
Dengue,Baixada Santista,2025,8,202508,2025-02-23,225,220,119,106,62,138,25
Dengue,Baixada Santista,2025,9,202509,2025-03-02,421,404,238,183,123,258,40
Dengue,Baixada Santista,2025,10,202510,2025-03-09,356,342,201,155,78,244,34
Dengue,Baixada Santista,2025,11,202511,2025-03-16,507,487,286,221,115,346,46
Dengue,Baixada Santista,2025,12,202512,2025-03-23,568,548,321,247,154,360,54
Dengue,Baixada Santista,2025,13,202513,2025-03-30,627,611,342,285,189,368,70
Dengue,Baixada Santista,2025,14,202514,2025-04-06,487,478,266,221,135,308,44
Dengue,Baixada Santista,2025,15,202515,2025-04-13,712,694,395,317,190,440,82
Dengue,Baixada Santista,2025,16,202516,2025-04-20,607,597,325,282,160,367,80
Dengue,Baixada Santista,2025,17,202517,2025-04-27,703,696,354,349,172,451,80
Dengue,Baixada Santista,2025,18,202518,2025-05-04,680,672,363,317,194,415,71
Dengue,Baixada Santista,2025,19,202519,2025-05-11,835,824,432,403,259,456,120
Dengue,Baixada Santista,2025,20,202520,2025-05-18,735,726,378,357,195,435,105
Dengue,Baixada Santista,2025,21,202521,2025-05-25,701,691,374,327,199,422,80
Dengue,Baixada Santista,2025,22,202522,2025-06-01,684,671,368,316,199,408,77
Dengue,Baixada Santista,2025,23,202523,2025-06-08,621,611,327,294,174,392,55
Dengue,Baixada Santista,2025,24,202524,2025-06-15,478,470,249,229,149,276,53
Dengue,Baixada Santista,2025,25,202525,2025-06-22,245,242,124,121,66,156,23
Dengue,Baixada Santista,2025,26,202526,2025-06-29,378,359,179,199,149,208,21
Dengue,Baixada Santista,2025,27,202527,2025-07-06,299,264,155,144,105,172,22
Dengue,Baixada Santista,2025,28,202528,2025-07-13,260,254,141,119,77,158,25
Dengue,Baixada Santista,2025,29,202529,2025-07-20,308,294,160,148,120,161,27
Dengue,Baixada Santista,2025,30,202530,2025-07-27,344,310,170,174,117,200,27
Dengue,Baixada Santista,2025,31,202531,2025-08-03,213,194,118,95,59,129,25
Dengue,Baixada Santista,2025,32,202532,2025-08-10,259,235,144,115,89,150,20
Dengue,Baixada Santista,2025,33,202533,2025-08-17,321,288,171,150,112,194,15
Dengue,Baixada Santista,2025,34,202534,2025-08-24,130,116,68,62,35,84,11
Dengue,Baixada Santista,2025,35,202535,2025-08-31,51,47,26,25,15,36,0
Dengue,Baixada Santista,2025,36,202536,2025-09-07,67,66,33,34,24,40,3
Dengue,Baixada Santista,2025,37,202537,2025-09-14,67,60,30,37,23,39,5
Dengue,Baixada Santista,2025,38,202538,2025-09-21,87,76,45,42,34,51,2
Dengue,Baixada Santista,2025,39,202539,2025-09-28,57,57,36,21,19,33,5
Dengue,Baixada Santista,2025,40,202540,2025-10-05,57,52,35,22,17,35,5
Dengue,Baixada Santista,2025,41,202541,2025-10-12,71,65,41,30,27,42,2
Dengue,Baixada Santista,2025,42,202542,2025-10-19,60,58,38,22,20,36,4
Dengue,Baixada Santista,2025,43,202543,2025-10-26,87,86,45,42,33,50,4
Dengue,Baixada Santista,2025,44,202544,2025-11-02,76,72,33,43,24,47,5
Dengue,Baixada Santista,2025,45,202545,2025-11-09,93,85,54,39,39,51,3
Dengue,Baixada Santista,2025,46,202546,2025-11-16,81,73,41,40,32,45,4
Dengue,Baixada Santista,2025,47,202547,2025-11-23,47,44,26,21,17,24,6
Dengue,Baixada Santista,2025,48,202548,2025-11-30,84,79,40,44,38,42,4
Dengue,Baixada Santista,2025,49,202549,2025-12-07,62,58,39,23,25,33,4
Dengue,Baixada Santista,2025,50,202550,2025-12-14,88,77,46,42,42,45,1
Dengue,Baixada Santista,2025,51,202551,2025-12-21,79,73,47,32,23,51,5
Dengue,Baixada Santista,2025,52,202552,2025-12-28,52,47,23,29,18,32,2
Dengue,Baixada Santista,2025,53,202553,2026-01-04,31,28,22,9,13,16,2
Dengue,Baixada Santista,2026,1,202601,2026-01-04,26,24,12,14,6,15,5
Dengue,Baixada Santista,2026,2,202602,2026-01-11,57,55,31,26,20,34,3
Dengue,Baixada Santista,2026,3,202603,2026-01-18,56,53,22,34,20,31,5
Dengue,Baixada Santista,2026,4,202604,2026-01-25,48,46,30,18,19,28,1
Dengue,Baixada Santista,2026,5,202605,2026-02-01,61,59,37,24,11,45,5
Dengue,Baixada Santista,2026,6,202606,2026-02-08,75,70,32,43,24,44,7
Dengue,Baixada Santista,2026,7,202607,2026-02-15,82,76,42,40,19,57,6
Dengue,Baixada Santista,2026,8,202608,2026-02-22,92,83,47,45,27,61,4
Dengue,Baixada Santista,2026,9,202609,2026-03-01,107,103,53,54,28,72,7
Dengue,Baixada Santista,2026,10,202610,2026-03-08,123,110,71,52,46,72,5
Dengue,Baixada Santista,2026,11,202611,2026-03-15,139,125,69,70,40,91,8
Dengue,Baixada Santista,2026,12,202612,2026-03-22,158,133,80,78,52,100,6
Dengue,Baixada Santista,2026,13,202613,2026-03-29,130,115,69,61,49,73,8
Dengue,Baixada Santista,2026,14,202614,2026-04-05,166,150,90,76,63,95,8
Dengue,Baixada Santista,2026,15,202615,2026-04-12,140,119,73,67,49,84,7
Dengue,Baixada Santista,2026,16,202616,2026-04-19,135,115,81,54,54,78,3
Dengue,Baixada Santista,2026,17,202617,2026-04-26,126,114,65,61,40,75,11
Dengue,Baixada Santista,2026,18,202618,2026-05-03,104,93,59,45,33,61,10
Dengue,Baixada Santista,2026,19,202619,2026-05-10,83,72,44,39,30,45,8
Dengue,Baixada Santista,2026,20,202620,2026-05-17,57,50,28,29,25,32,0
Dengue,Baixada Santista,2026,21,202621,2026-05-24,82,77,49,33,21,57,4
Dengue,Baixada Santista,2026,22,202622,2026-05-31,86,77,42,44,34,45,7
Dengue,Baixada Santista,2026,23,202623,2026-06-07,96,80,52,44,36,53,7
Dengue,Baixada Santista,2026,24,202624,2026-06-14,61,52,31,30,18,42,1
Dengue,Baixada Santista,2026,25,202625,2026-06-21,75,61,35,40,24,46,5
Dengue,Baixada Santista,2026,26,202626,2026-06-28,86,73,41,45,30,53,3
Dengue,Baixada Santista,2026,27,202627,2026-07-05,46,39,25,21,13,28,5
Dengue,Baixada Santista,2026,28,202628,2026-07-12,43,38,17,25,10,32,1
Dengue,Baixada Santista,2026,29,202629,2026-07-19,41,34,22,19,10,28,3
Dengue,Baixada Santista,2026,30,202630,2026-07-26,61,50,28,33,22,36,3
Dengue,Baixada Santista,2026,31,202631,2026-08-02,61,51,37,24,16,39,6
Dengue,Baixada Santista,2026,32,202632,2026-08-09,55,38,19,36,17,36,2
Dengue,Baixada Santista,2026,33,202633,2026-08-16,61,40,35,26,25,31,5
Dengue,Baixada Santista,2026,34,202634,2026-08-23,62,28,33,29,17,40,5
Dengue,Baixada Santista,2026,35,202635,2026-08-30,29,10,17,12,9,15,5
Dengue,Cubatão,2021,1,202101,2021-01-03,26,3,10,16,8,15,3
Dengue,Cubatão,2021,2,202102,2021-01-10,92,16,50,42,36,45,11
Dengue,Cubatão,2021,3,202103,2021-01-17,138,28,71,67,45,81,12
Dengue,Cubatão,2021,4,202104,2021-01-24,173,18,84,89,57,104,12
Dengue,Cubatão,2021,5,202105,2021-01-31,221,25,125,96,68,136,17
Dengue,Cubatão,2021,6,202106,2021-02-07,384,52,212,172,117,232,35
Dengue,Cubatão,2021,7,202107,2021-02-14,275,50,144,131,83,171,21
Dengue,Cubatão,2021,8,202108,2021-02-21,477,120,267,209,146,281,50
Dengue,Cubatão,2021,9,202109,2021-02-28,582,114,323,259,143,381,58
Dengue,Cubatão,2021,10,202110,2021-03-07,552,148,283,264,135,352,65
Dengue,Cubatão,2021,11,202111,2021-03-14,520,174,293,226,101,375,44
Dengue,Cubatão,2021,12,202112,2021-03-21,627,226,322,305,112,453,62
Dengue,Cubatão,2021,13,202113,2021-03-28,597,230,318,279,111,425,61
Dengue,Cubatão,2021,14,202114,2021-04-04,548,228,306,241,106,380,62
Dengue,Cubatão,2021,15,202115,2021-04-11,374,148,208,161,77,257,40
Dengue,Cubatão,2021,16,202116,2021-04-18,319,104,168,150,102,186,31
Dengue,Cubatão,2021,17,202117,2021-04-25,365,115,175,176,80,253,32
Dengue,Cubatão,2021,18,202118,2021-05-02,306,76,163,143,65,210,31
Dengue,Cubatão,2021,19,202119,2021-05-09,274,58,138,136,52,190,32
Dengue,Cubatão,2021,20,202120,2021-05-16,220,58,120,100,42,158,20
Dengue,Cubatão,2021,21,202121,2021-05-23,280,51,135,145,42,201,37
Dengue,Cubatão,2021,22,202122,2021-05-30,182,34,85,97,30,132,20
Dengue,Cubatão,2021,23,202123,2021-06-06,195,36,100,95,41,137,17
Dengue,Cubatão,2021,24,202124,2021-06-13,121,30,65,56,26,83,12
Dengue,Cubatão,2021,25,202125,2021-06-20,86,17,45,41,14,62,10
Dengue,Cubatão,2021,26,202126,2021-06-27,97,18,56,41,25,65,7
Dengue,Cubatão,2021,27,202127,2021-07-04,81,13,37,44,31,45,5
Dengue,Cubatão,2021,28,202128,2021-07-11,67,13,36,31,18,41,8
Dengue,Cubatão,2021,29,202129,2021-07-18,58,12,32,26,17,37,4
Dengue,Cubatão,2021,30,202130,2021-07-25,99,26,52,47,19,69,11
Dengue,Cubatão,2021,31,202131,2021-08-01,37,9,21,16,7,27,3
Dengue,Cubatão,2021,32,202132,2021-08-08,57,16,34,23,15,37,5
Dengue,Cubatão,2021,33,202133,2021-08-15,106,28,45,61,61,35,10
Dengue,Cubatão,2021,34,202134,2021-08-22,96,17,53,43,47,37,12
